DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,ToxCast Active,ToxCast Total,% ToxCast Active,HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021243,Rhodamine 6G,989-38-8,C28H31ClN2O3,478.202321,209,366,57.0,Inactive,1.1204352566900683e-9,5.6021762834503416E-11,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021164,Piperazine,110-85-0,C4H10N2,86.084398,9,569,2.0,Inactive,0.19263893579894395,0.009631946789947197,0.0011549157782018867,-2.9374496853786147
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021160,Picloram,1918-02-1,C6H3Cl3N2O2,239.926010,14,659,2.0,Inactive,0.7183779300367775,0.035918896501838875,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021166,Piperonyl butoxide,51-03-6,C19H30O5,338.209324,117,705,17.0,Inactive,8.903423033343812e-12,4.4517115166719057E-13,24.999999999999996,1.3979400086720375
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021322,Tetraethylthiuram disulfide,97-77-8,C10H20N2S4,296.050933,313,757,41.0,Inactive,1.8400860029694503e-10,9.200430014847251E-12,24.999999999999996,1.3979400086720375
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021168,Piperonyl sulfoxide,120-62-7,C18H28O3S,324.175916,74,234,32.0,Inactive,5.604608699526763e-10,2.8023043497633814E-11,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021372,"3,4,4'-Triaminodiphenyl ether",6264-66-0,C12H13N3O,215.105862,55,319,17.0,Inactive,11.266308709856563,0.5633154354928281,20.32376165077207,1.3080040930301573
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021374,Bromoform,75-25-2,CHBr3,249.762839,3,241,1.0,Active,124.27152578750109,6.213576289375054,50.98108884325167,1.7074091068014716
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021328,Tetrahydrofuran,109-99-9,C4H8O,72.057515,1,320,0.0,Inactive,3.241516927568314e-10,1.620758463784157E-11,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021378,Trichloroacetic acid,76-03-9,C2HCl3O2,161.904212,4,591,1.0,Inactive,0.5404877753603209,0.027024388768016043,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021403,Trimethyl orthophosphate,512-56-1,C3H9O4P,140.023846,16,352,5.0,Inactive,1.471969033117832e-9,7.359845165589159E-11,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021405,Musk Xylene,81-15-2,C12H15N3O6,297.096085,67,425,16.0,Inactive,7.742015362985588e-12,3.871007681492794E-13,44.99999999999998,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021409,Triphenyltin hydroxide,76-87-9,C18H16OSn,368.022317,398,695,57.0,Inactive,1.2528236602176167e-9,6.264118301088083E-11,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021455,C.I. Acid Yellow 23,1934-21-0,C16H9N4Na3O9S2,533.950403,39,605,6.0,Inactive,0.1895939500358426,0.00947969750179213,24.999999999999996,1.3979400086720375
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021530,2-Chlorocyclohexanone,822-87-7,C6H9ClO,132.034193,0,234,0.0,Inactive,3.529239426068623e-10,1.7646197130343115E-11,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021615,Methanesulfonyl chloride,124-63-0,CH3ClO2S,113.954228,0,234,0.0,Inactive,7.90442230943428e-10,3.95221115471714E-11,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021584,Phorone,504-20-1,C9H14O,138.104465,0,234,0.0,Inactive,3.4822424696581893e-12,1.7411212348290948E-13,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021586,"6,10-Dimethyl-5,9-undecadiene-2-one",689-67-8,C13H22O,194.167065,24,427,6.0,Inactive
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021247,C.I. Basic Red 9 monohydrochloride,569-61-9,C19H18ClN3,323.118925,118,324,36.0,Inactive,3.029250362959071e-10,1.5146251814795355E-11,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021617,3-Methylbenzoic acid,99-04-7,C8H8O2,136.052429,6,318,2.0,Inactive,5.801029988626139e-10,2.9005149943130693E-11,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021291,Sodium sulfate anhydrous,7757-82-6,Na2O4S,141.931268,0,234,0.0,Inactive,1.193720589146899,0.05968602945734495,8.929132617313728,0.9508092732435082
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021299,Chlorotrianisene,569-57-3,C23H21ClO3,380.117922,31,349,9.0,Inactive,1.2352651612386208e-11,6.176325806193104E-13,24.999999999999996,1.3979400086720375
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021619,3-Methylbutanal,590-86-3,C5H10O,86.073165,0,234,0.0,Inactive,4.371836878009915e-10,2.1859184390049577E-11,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021320,Tetrachlorovinphos,961-11-5,C10H9Cl4O4P,363.899257,46,234,20.0,Inactive,6.736658570335983e-11,3.3683292851679913E-12,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021827,Cumene,98-82-8,C9H12,120.093900,7,234,3.0,Inactive,2.2266641589229945e-10,1.1133320794614972E-11,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021665,Myristyl aldehyde,124-25-4,C14H28O,212.214016,2,234,1.0,Inactive,0.18328088948528573,0.009164044474264287,2.5000000000000004,0.3979400086720377
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021871,4-Chlorophenol,106-48-9,C6H5ClO,128.002893,12,352,3.0,Inactive,0.46970620032369137,0.02348531001618457,0.05589374823986652,-1.2526367655798702
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021667,Tribromoacetaldehyde,115-17-3,C2HBr3O,277.757754,110,234,47.0,Inactive,8.356383029563139e-10,4.17819151478157E-11,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021740,1-Butanol,71-36-3,C4H10O,74.073165,1,327,0.0,Inactive,1.5238407576887827,0.07619203788443914,0.00010000005394379845,-3.999999765725123
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021873,Isobutyl acrylate,106-63-8,C7H12O2,128.083730,0,234,0.0,Inactive,2.6086660116879914,0.13043330058439956,0.012843706121384375,-1.8913096401439393
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021790,2-Nitrophenol,88-75-5,C6H5NO3,139.026943,2,351,1.0,Inactive,0.8076783754927758,0.04038391877463879,5.097587438581854,0.7073646839387346
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021798,Quinoline,91-22-5,C9H7N,129.057849,15,581,3.0,Inactive,0.27091709712731993,0.013545854856365997,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021744,Thiopental sodium,71-73-8,C11H17N2NaO2S,264.090843,1,234,0.0,Inactive,0.2948216420350087,0.014741082101750435,0.00019247238044114501,-3.7156315824287165
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021792,Salicylaldehyde,90-02-8,C7H6O2,122.036779,5,347,1.0,Inactive,0.41962987852500666,0.020981493926250334,3.192458215415299,0.5041252216963547
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021821,2-Butanone oxime,96-29-7,C4H9NO,87.068414,4,558,1.0,Inactive,0.3355794589193639,0.016778972945968196,0.03988933604448173,-1.3991431924346478
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021823,"2,4-Dinitroaniline",97-02-9,C6H5N3O4,183.028006,20,234,9.0,Inactive,4.095095026760159e-10,2.0475475133800796E-11,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021956,Di-n-octyl phthalate,117-84-0,C24H38O4,390.277010,15,599,3.0,Inactive,0.8186456427754698,0.04093228213877349,0.004082980322035332,-2.3890227131585764
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1022003,"1,3-Diethylbenzene",141-93-5,C10H14,134.109550,1,197,1.0,Inactive,4.193144626146546,0.20965723130732733,5.093264964450398,0.7069962698548496
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021877,2-Chloroethanol,107-07-3,C2H5ClO,80.002893,3,564,1.0,Inactive,0.10354031300824051,0.0051770156504120255,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021958,Ethyl salicylate,118-61-6,C9H10O3,166.062994,0,234,0.0,Inactive,0.8798459110495032,0.04399229555247516,0.027347205207349495,-1.5630870505022258
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1022001,Ethyl acetate,141-78-6,C4H8O2,88.052429,4,320,1.0,Inactive,2.34150317329047e-11,1.170751586645235E-12,44.999999999999986,1.6532125137753435
